Fala,Categoria
Can't talk. Robbed. Go hell.,Negativa
Dad! We've been robbed!,Negativa
"Wake up, Dad! Wake up! There was a burglar and he took my saxophone.",Negativa
Woo hoo!,Positiva
And our portable TV!,Negativa
And my necklace.,Negativa
"Eh, that's no big loss.",Neutra
Homer! That necklace was a priceless Bouvier family heirloom.,Negativa
"Oh, you've probably got a whole drawer full of 'em.",Neutra
"Well... Yes, I do. But they're all heirlooms, too.",Neutra
The burglar even took my stamp collection.,Negativa
YOU had a stamp collection?,Neutra
Stamp collection. Haw haw!,Neutra
"Bart's pain is funny, but mine isn't. That saxophone was my one creative outlet. It was the only way I could truly express myself.",Neutra
"Shhh, quiet Lisa.",Neutra
"Hey, the burglar left his calling card.",Positiva
"""You have just been robbed by The Springfield Cat Burglar""... Cute.",Positiva
"Hidilly ho, neighboreenos.",Neutra
You folks got robbed too? The burglar took my Shroud of Turin beach towels.,Negativa
Wow. It's a crime wave.,Neutra
Good Lord! My Stormin' Norman Commemorative Plates stolen... again.,Neutra
Hey! I thought I had more stuff than this.,Neutra
"We are insured, aren't we, Mom?",Negativa
"Homer, tell your child what you bought when I sent you to town to get some insurance.",Positiva
"Curse you, Magic Beans.",Neutra
"Oh, stop blaming the beans.",Neutra
"Hello, police? Are you sitting down? Good. I wish to report a robbery!",Neutra
"A robbery, right. Thanks for the report.",Neutra
"Another one, Lou. 723 Evergreen Terrace.",Neutra
"Well, there doesn't seem to be any pattern, yet. But if I take this one and move it here, and move these over here... Hello... It almost looks like an arrow.",Neutra
"Hey look, Chief. It's pointing right at this police station.",Neutra
Let's get outta here!,Neutra
"When cat burglaries start, can mass murders be far behind? This reporter isn't saying that the burglar is an inhuman monster like the Wolfman, but he very well could be.",Negativa
"So, professor, would you say it's time for everyone to panic?",Neutra
"Yes I would, Kent.",Negativa
"Ladies and gentlemen, ladies and gentlemen please, we have a major break in the case. We recovered the burglar's handkerchief from one of the crime scenes. Now one sniff of this baby and our tracking dog will be hot on his trail. Gosh, look at me, I'm sweating like a pig here...",Positiva
Ahhh. Aw man... that's better.,Positiva
"Alright, get the scent, boy. Come on. Get the scent. Now kill! Go on.",Negativa
"Ow, my jugular! Any questions?",Negativa
Let me check my reason list.,Negativa
Yep. It's on here.,Positiva
"Well, as you can see, when the burglar trips the alarm, the house raises from its foundations and runs down the street and around a corner to safety.",Negativa
"Well, the the real humans won't uh.. won't burn quite so fast there.",Neutra
Cool! High-tech security system.,Neutra
"Alright, free laserium. All the colors of the bow, man.",Negativa
My cataracts are gone! I can see again! All the beauty of nat...,Positiva
"I'm blind! Oh well, easy come easy go.",Negativa
"It's the cat burglar! Please, don't kill me!",Negativa
"Abe, can I use your ointment?",Neutra
"Oh, it's you, Molloy. Alright. But this time clean off the applicator.",Positiva
Thank you for coming. I'll see you in Hell.,Neutra
"Alright, these are our new family security rules: Be home before dark, and make sure you're not followed, lock all doors and windows.",Neutra
And don't take candy from strangers.,Neutra
"Marge, they're only human.",Positiva
What's the point of all these precautions? I've already lost the only thing that matters to me.,Neutra
"Oh Lisa, stop pining for your saxophone. I got you another instrument.",Positiva
"What, this jug?",Neutra
"Lisa, never, ever stop in the middle of a hoe-down.",Neutra
"Aw, honey. I didn't realize how much that horn meant to you. Don't worry. Daddy's gonna get it back. I don't know how, but I'll figure out something.",Positiva
Thank you.,Positiva
"You know Lisa, music helps daddy think.",Positiva
"Hey, you're that drunken posse. Wow, can I join you?",Negativa
I dunno. Can you swing a sack of door knobs?,Neutra
Can I?!,Positiva
"Welcome, neighbors... since the police can't seem to get off their dufferoonies to do something about this burglarino, I think it's time we start our own neighborhood watch... arooni!",Positiva
"Now, who should lead the group?",Negativa
You!,Neutra
Yeah! Flanders! Flanders! Flanders!,Neutra
"I don't really have very much experience, but I'll be---",Neutra
Someone else!,Neutra
Yeah! Someone else! Someone else! Someone else!,Neutra
I'm someone else!,Negativa
He's right!,Neutra
"We don't need a thinker, we need a doer. Someone who'll act without considering the consequences.",Positiva
Homer! Homer! Homer!,Positiva
"I'm with you, Homer.",Neutra
"I be with ya too, matey.",Positiva
"I'm with you, Homer.",Neutra
"You're the man, Homer.",Negativa
You're so good.,Neutra
"You're the man, man.",Negativa
I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar...,Neutra
"Sorry, Dad. You're too old.",Neutra
"Too old! Why that just means I have experience. Who chased the Irish out of Springfield Village in ought four? Me, that's who!",Positiva
And a fine job ye did too!,Neutra
"Aw, Dad, you've done a lot of great things, but you're a very old man now, and old people are useless. Aren't they? Aren't they? Huh? Yes they are. Yes they are...",Neutra
Stop it! It's a form of abuse!,Neutra
"I don't think the guns are a good idea, Homer.",Neutra
"Marge, we're responsible adults and...",Negativa
Oops.,Neutra
... and if a group of responsible adults can't handle firearms in a responsible way...,Neutra
Sorry.,Neutra
Uh-oh!,Neutra
Me again.,Neutra
Sorry.,Neutra
"Okay, we've got the secret vigilante handshake. Now we need code names. I'll be ""Cueball."" Skinner can be ""Eightball"", Barney will be ""Twelveball,"" and Moe, you can be ""Cueball.""",Neutra
You're an idiot.,Neutra
"So, wedding, huh?",Positiva
"No, we're forming a vigilante group.",Positiva
Come with me.,Neutra
"See, it's a miniature version of the A-bomb. The government built it in the fifties to drop on beatniks.",Neutra
Radiant cool crazy nightmare. Zen New Jersey nowhere.,Negativa
Put this in your pipe and smoke it.,Negativa
How now brown bureaucrats.,Negativa
Woo Hoo! Woo hoo hoo hoo!,Positiva
"Woo hoo, hoo! Take that Maynard G. Krebs!",Neutra
"Hey, see this sign?",Neutra
Sorry.,Neutra
"Okay, men, it's time to clean up this town.",Neutra
Meaning what exactly?,Positiva
"You know, push people around, make ourselves feel big.",Positiva
"Bart, give me that megaphone of yours.",Negativa
"It's not just a megaphone, Dad. It's a RapMaster 2000.",Neutra
Never mind the commercials. Just give it to me. I've got to whip this neighborhood into shape.,Negativa
Move along there.,Neutra
It's Hammer!,Neutra
Return to your homes and places of businesses!,Positiva
"Hey you, where'd you get that saxophone?",Neutra
Sears.,Neutra
Get him!,Negativa
No burning leaves without a permit!,Neutra
I got one.,Neutra
Too late.,Neutra
"You better have a good reason for doing that, boy.",Neutra
It makes me feel like a big man.,Neutra
You're in. Here's the sack.,Neutra
But you gotta supply your own knobs.,Negativa
"So I said to him, ""Look buddy, your car was upside down when we got here. And as for your Grandma, she shouldn't have mouthed off like that.""",Neutra
"Dad, don't you see you're abusing your power like all vigilantes? I mean, if you're the police, who will police the police?",Negativa
I 'unno. Coast Guard?,Positiva
"Homer, wasn't the whole point to catch the cat burglar?",Positiva
And I still don't have my saxophone.,Neutra
"Lisa, the mob is working on getting your saxophone back, but we've also expanded into other important areas.",Negativa
Literacy programs... preserving our beloved covered bridges... world domination...,Negativa
World domination?,Negativa
"Oh, that might be a typo.",Positiva
"Mr. Simpson, how do you respond to the charge that petty vandalism such as graffiti is down 80 percent, while heavy sack beatings are up a shocking 900 percent?",Neutra
"Aw, people can come up with statistics to prove anything, Kent. Forty percent of all people know that.",Neutra
"I see. Well, what do you say to the accusation that your group has been causing more crimes than it's been preventing?",Positiva
"Oh, Kent, I'd be lying if I said my men weren't committing crimes.",Neutra
Touché.,Neutra
"Well, it looks like we have our first caller. And I mean ever, because this is not a call-in show. Hello, you're on the air.",Neutra
"Hello, Kent. Hello, Homer, my arch nemesis.",Neutra
Y'ello.,Negativa
"Uh, you do realize who this is...",Neutra
Uh... Marge?,Neutra
"No, Homer, I'm not your wife, although I do enjoy her pearls. As a matter of fact, I'm holding them right now. Listen.",Neutra
Why you monster! And you have my daughter's saxophone too!,Neutra
"Homer, that's our stage manager!",Neutra
Oh sorry. I'm a little nervous.,Neutra
"It may interest you to know that for my next crime I'll be pinching the pride and joy of the Springfield Museum, the world's largest cubic zirconia.",Neutra
"Listen, Mr. Cat Burglar, I vow to go without sleep and guard the Springfield museum day and night for as long as it takes, from now on unless you want to taunt me more by giving me an approximate time.",Neutra
We'll be right back.,Neutra
I get to say that.,Neutra
"Son, we wanna help you catch that plug-ugly-yegg.",Neutra
"Dad, the best way for you to help is to set a good example. Just stand around and don't steal anything.",Neutra
Hey!,Positiva
We're on our break!,Neutra
Any sign of the burglar yet?,Positiva
He'll show.,Negativa
How's that?,Positiva
It's his job.,Negativa
How's that?,Positiva
He's a burglar.,Neutra
"Well, Mr. Cat Burglar, you'd like to get in here, wouldn't you? There's just one little problem. Thirty-six years ago some lady gave birth to a man named Homer J. Sim -- Oh my God! Underage kids drinking beer without a permit!",Positiva
Chug! Chug! Chug! Chug! Chug!,Positiva
Asleep at the switch! I wasn't asleep! I was drunk!,Positiva
"I believe you, Dad.",Negativa
"Well, no matter what the paper says, I still have a job to do.",Positiva
"Go home, Simpson.",Neutra
"You let me down, man. Now I don't believe in nothing no more. I'm going to law school.",Positiva
Nooooo!,Negativa
"Dad, maybe this will cheer you up.",Positiva
"Oh, this doesn't work any more.",Neutra
I didn't say stop.,Neutra
Oh my! I had no idea how much this town loved that zirconia.,Neutra
Let me through! Coming through!,Neutra
"Oh, Grampa. They pelted you too?",Negativa
No. Actually I fell down at the Big Boy.,Neutra
"Son, I've come to help you. I know who the cat burglar is.",Neutra
What? Who? Huh? What?,Neutra
"Well, well, well. Before I was too old and no one wanted my help. Suddenly, look who comes to old Grampa for--wait! Where're you going?",Neutra
Come back. I'll tell you.,Neutra
He was right under my nose the whole time. He lives in my retirement home. His name is Molloy.,Neutra
"Wow! How'd you track him down, Grampa?",Neutra
Good question.,Neutra
On one of my frequent trips to the ground... I noticed Molloy wore sneakers.,Neutra
For sneaking! My next clue came just yesterday at the museum. We felt slighted by your age-bashing and started home.,Positiva
"Molloy said, 'I'll catch up with you.'",Neutra
"I couldn't quite put my finger on it. There was something strange about the way he walked. Much more vertical than usual. And finally, Molloy, unlike most retired people, has the world's largest cubic zirconia on his coffee table.",Neutra
"Aw, Dad, I could kiss you.",Positiva
Well kiss me right here. It's the only part that still has feeling.,Neutra
No wait! I know where the burglar is!,Positiva
To the retirement home!,Negativa
Hooray!,Negativa
